DISEASE|MEAL_TYPE|MEAL_NAME|INGREDIENTS|FOOD_TYPE|CUISINE
PCOS|Lunch|Egg Curry|eggs,onion,tomato,spices|Non-Vegetarian|Pakistani
PCOS|Lunch|Lauki Dal|lauki,dal,tomato,spices|Vegan|Pakistani
PCOS|Lunch|Arvi Gosht|arvi,mutton,tomato,spices|Non-Vegetarian|Pakistani
PCOS|Lunch|Turai Sabzi|turai,onion,tomato,spices|Vegan|Pakistani
PCOS|Lunch|Chickpea Curry|chickpeas,onion,tomato,spices|Vegan|Pakistani
PCOS|Lunch|Mutton Curry|mutton,onion,tomato,spices|Non-Vegetarian|Pakistani
PCOS|Lunch|Palak Paneer|spinach,paneer,onion,tomato,spices|Vegetarian|Pakistani
PCOS|Lunch|Saag with Roti|saag,wheat roti,butter|Vegetarian|Pakistani
PCOS|Lunch|Daal Mash|urad dal,garlic,onion,spices|Vegan|Pakistani
PCOS|Lunch|Mixed Vegetable Curry|mixed vegetables,onion,tomato,spices|Vegan|Pakistani
PCOS|Lunch|Sindhi Kadhi|vegetables,chickpea flour,tamarind|Vegan|Pakistani
PCOS|Lunch|Chicken Soup|chicken,vegetables,ginger,salt|Non-Vegetarian|Pakistani
PCOS|Lunch|Lentil Soup|mixed lentils,garlic,cumin,tomato|Vegan|Pakistani
PCOS|Lunch|Karela Gosht|karela,mutton,onion,spices|Non-Vegetarian|Pakistani
PCOS|Dinner|Grilled Chicken|chicken,lemon,garlic,spices|Non-Vegetarian|Pakistani
PCOS|Dinner|Palak Paneer|spinach,paneer,onion,tomato,spices|Vegetarian|Pakistani
PCOS|Dinner|Fish Tikka|fish,yogurt,spices,lemon|Non-Vegetarian|Pakistani
PCOS|Dinner|Moong Dal Khichdi|moong dal,rice,turmeric,salt|Vegan|Pakistani
PCOS|Dinner|Chicken Saag|chicken,spinach,onion,spices|Non-Vegetarian|Pakistani
PCOS|Dinner|Mutton Yakhni|mutton,ginger,garlic,water,spices|Non-Vegetarian|Pakistani
PCOS|Dinner|Masoor Soup|masoor,tomato,garlic,spices|Vegan|Pakistani
PCOS|Dinner|Bhindi Sabzi|bhindi,onion,tomato,spices|Vegan|Pakistani
PCOS|Dinner|Egg Bhurji with Roti|eggs,onion,tomato,wheat roti|Non-Vegetarian|Pakistani
PCOS|Dinner|Chana Dal with Roti|chana dal,wheat roti,spices|Vegan|Pakistani
PCOS|Dinner|Methi Matar|methi,peas,onion,spices|Vegan|Pakistani
PCOS|Dinner|Chicken Tikka|chicken,yogurt,spices,lemon|Non-Vegetarian|Pakistani
PCOS|Dinner|Baingan Gosht|baingan,mutton,onion,spices|Non-Vegetarian|Pakistani
PCOS|Dinner|Steamed Fish|fish,lemon,garlic,spices|Non-Vegetarian|Pakistani
PCOS|Dinner|Turai Gosht|turai,mutton,onion,spices|Non-Vegetarian|Pakistani
PCOS|Dinner|Lauki Sabzi|lauki,onion,tomato,spices|Vegan|Pakistani
PCOS|Dinner|Daal Mash with Roti|urad dal,wheat roti,spices|Vegan|Pakistani
PCOS|Dinner|Grilled Mutton Chops|mutton,spices,lemon,garlic|Non-Vegetarian|Pakistani
PCOS|Dinner|Saag with Makki Roti|saag,makki roti,butter|Vegetarian|Pakistani
PCOS|Dinner|Arvi Sabzi|arvi,onion,tomato,spices|Vegan|Pakistani
PCOS|Dinner|Chicken Shorba|chicken,ginger,garlic,water,spices|Non-Vegetarian|Pakistani
PCOS|Dinner|Lentil Soup|mixed lentils,garlic,cumin,tomato|Vegan|Pakistani
PCOS|Dinner|Stuffed Capsicum|capsicum,paneer,onion,spices|Vegetarian|Pakistani
PCOS|Dinner|Aloo Methi|potato,methi,onion,spices|Vegan|Pakistani
PCOS|Dinner|Mixed Vegetable Soup|mixed vegetables,garlic,salt|Vegan|Pakistani
PCOS|Dinner|Fish Curry|fish,tomato,onion,spices|Non-Vegetarian|Pakistani
PCOS|Dinner|Egg Salad|eggs,cucumber,tomato,lettuce,lemon|Non-Vegetarian|Pakistani
PCOS|Dinner|Shimla Mirch Gosht|capsicum,mutton,spices|Non-Vegetarian|Pakistani
PCOS|Dinner|Vegetable Khichdi|rice,mixed vegetables,turmeric|Vegan|Pakistani
PCOS|Dinner|Karela Sabzi|karela,onion,tomato,spices|Vegan|Pakistani
PCOS|Snacks|Spearmint Tea|spearmint leaves,water,honey|Vegan|Pakistani
PCOS|Snacks|Flaxseed Drink|flaxseeds,water,lemon|Vegan|Pakistani
PCOS|Snacks|Roasted Pumpkin Seeds|pumpkin seeds,salt|Vegan|Pakistani
PCOS|Snacks|Greek Yogurt with Cinnamon|yogurt,cinnamon|Vegetarian|Pakistani
PCOS|Snacks|Walnuts and Almonds|walnuts,almonds|Vegan|Pakistani
PCOS|Snacks|Sprout Chaat|moong sprouts,tomato,lemon,chaat masala|Vegan|Pakistani
PCOS|Snacks|Boiled Egg|egg,salt,pepper|Non-Vegetarian|Pakistani
PCOS|Snacks|Cucumber with Yogurt|cucumber,yogurt,mint,salt|Vegetarian|Pakistani
PCOS|Snacks|Chia Water|chia seeds,water,lemon|Vegan|Pakistani
PCOS|Snacks|Roasted Chana|chana,salt,cumin|Vegan|Pakistani
PCOS|Snacks|Coconut Water|coconut water|Vegan|Pakistani
PCOS|Snacks|Methi Seeds Water|methi seeds,water|Vegan|Pakistani
PCOS|Snacks|Green Tea with Cinnamon|green tea,cinnamon,lemon|Vegan|Pakistani
PCOS|Snacks|Apple with Peanut Butter|apple,peanut butter|Vegan|Pakistani
PCOS|Snacks|Carrot Sticks with Hummus|carrot,hummus|Vegan|Pakistani
PCOS|Snacks|Namkeen Lassi|yogurt,water,salt,cumin|Vegetarian|Pakistani
PCOS|Snacks|Chickpea Chaat|chickpeas,tomato,onion,chaat masala|Vegan|Pakistani
PCOS|Snacks|Mixed Nuts|almonds,walnuts,pistachios|Vegan|Pakistani
PCOS|Snacks|Tomato Soup|tomato,garlic,onion,salt|Vegan|Pakistani
PCOS|Snacks|Sattu Drink|sattu,water,lemon,salt|Vegan|Pakistani
PCOS|Snacks|Lauki Juice|lauki,water,lemon|Vegan|Pakistani
PCOS|Snacks|Almond Smoothie|almonds,milk,no sugar|Vegetarian|Pakistani
PCOS|Snacks|Bran Crackers|wheat bran crackers,salt|Vegan|Pakistani
PCOS|Snacks|Lentil Soup Cup|masoor,water,garlic,salt|Vegan|Pakistani
PCOS|Snacks|Dahi with Seeds|yogurt,sunflower seeds,flaxseeds|Vegetarian|Pakistani
PCOS|Snacks|Herbal Tea|tulsi,ginger,water,honey|Vegan|Pakistani
PCOS|Snacks|Celery with Peanut Butter|celery,peanut butter|Vegan|Pakistani
PCOS|Snacks|Oat Biscuits|oats,honey,milk|Vegetarian|Pakistani
PCOS|Snacks|Roasted Makhana|makhana,salt,ghee|Vegan|Pakistani
PCOS|Snacks|Ajwain Water|ajwain,warm water|Vegan|Pakistani
Cholesterol|Breakfast|Oatmeal with Apple|oats,apple,cinnamon,water|Vegan|Pakistani
Cholesterol|Breakfast|Daliya with Seeds|daliya,flaxseeds,chia seeds,water|Vegan|Pakistani
Cholesterol|Breakfast|Besan Chilla|besan,onion,tomato,green chili|Vegetarian|Pakistani
Cholesterol|Breakfast|Moong Dal Cheela|moong dal,onion,coriander|Vegan|Pakistani
Cholesterol|Breakfast|Whole Wheat Roti with Sabzi|wheat roti,mixed vegetables|Vegan|Pakistani
Cholesterol|Breakfast|Egg White Omelette|egg white,capsicum,onion,salt|Non-Vegetarian|Pakistani
Cholesterol|Breakfast|Palak Paratha|spinach,wheat flour,oil,salt|Vegan|Pakistani
Cholesterol|Breakfast|Sprout Salad|moong sprouts,tomato,cucumber,lemon|Vegan|Pakistani
Cholesterol|Breakfast|Greek Yogurt with Oats|yogurt,oats,flaxseeds|Vegetarian|Pakistani
Cholesterol|Breakfast|Walnut Smoothie|walnuts,banana,almond milk|Vegan|Pakistani
Cholesterol|Breakfast|Brown Rice Khichdi|brown rice,moong dal,turmeric|Vegan|Pakistani
Cholesterol|Breakfast|Dahi with Flaxseeds|yogurt,flaxseeds,salt|Vegetarian|Pakistani
Cholesterol|Breakfast|Methi Paratha|methi,wheat flour,little oil,salt|Vegan|Pakistani
Cholesterol|Breakfast|Avocado Toast|brown bread,avocado,salt,lemon|Vegan|Pakistani
Cholesterol|Breakfast|Flaxseed Paratha|wheat flour,flaxseeds,salt|Vegan|Pakistani
Cholesterol|Breakfast|Almond Butter Toast|brown bread,almond butter|Vegan|Pakistani
Cholesterol|Breakfast|Oat Bran Porridge|oat bran,water,cinnamon|Vegan|Pakistani
Cholesterol|Breakfast|Lauki Juice|lauki,water,ginger,lemon|Vegan|Pakistani
Cholesterol|Breakfast|Chickpea Cheela|chickpea flour,onion,tomato|Vegan|Pakistani
Cholesterol|Breakfast|Chia Pudding|chia seeds,almond milk,honey|Vegan|Pakistani
Cholesterol|Breakfast|Steamed Idli with Chutney|idli,coconut chutney|Vegan|Pakistani
Cholesterol|Breakfast|Sattu Drink|sattu,water,lemon,salt|Vegan|Pakistani
Cholesterol|Breakfast|Namkeen Daliya|daliya,vegetables,cumin,salt|Vegan|Pakistani
Cholesterol|Breakfast|Ragi Roti with Dal|ragi flour,moong dal|Vegan|Pakistani
Cholesterol|Breakfast|Mixed Seeds Smoothie|flaxseeds,chia seeds,banana,almond milk|Vegan|Pakistani
Cholesterol|Breakfast|Psyllium Husk Drink|psyllium husk,water,lemon|Vegan|Pakistani
Cholesterol|Breakfast|Bran Muffin|wheat bran,egg white,honey|Vegetarian|Pakistani
Cholesterol|Breakfast|Spinach Smoothie|spinach,banana,almond milk|Vegan|Pakistani
Cholesterol|Breakfast|Palak Dahi Cheela|spinach,besan,yogurt|Vegetarian|Pakistani
Cholesterol|Breakfast|Whole Grain Toast with Peanut Butter|brown bread,peanut butter|Vegan|Pakistani
Cholesterol|Lunch|Masoor Dal with Brown Rice|masoor dal,brown rice,spices|Vegan|Pakistani
Cholesterol|Lunch|Grilled Fish|fish,lemon,garlic,spices|Non-Vegetarian|Pakistani
Cholesterol|Lunch|Chana Dal|chana dal,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Lunch|Moong Dal Soup|moong dal,garlic,cumin,water|Vegan|Pakistani
Cholesterol|Lunch|Lobia Curry|black eyed peas,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Lunch|Baingan Bharta|baingan,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Lunch|Grilled Chicken Breast|chicken,lemon,garlic,spices|Non-Vegetarian|Pakistani
Cholesterol|Lunch|Palak Paneer (low fat)|spinach,low fat paneer,spices|Vegetarian|Pakistani
Cholesterol|Lunch|Chickpea Curry|chickpeas,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Lunch|Brown Rice Pulao|brown rice,vegetables,cumin|Vegan|Pakistani
Cholesterol|Lunch|Fish Curry (mustard)|fish,mustard,tomato,spices|Non-Vegetarian|Pakistani
Cholesterol|Lunch|Mixed Vegetable Curry|mixed vegetables,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Lunch|Rajma Curry|kidney beans,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Lunch|Sindhi Kadhi|vegetables,chickpea flour,tamarind|Vegan|Pakistani
Cholesterol|Lunch|Grilled Tuna Salad|tuna,cucumber,tomato,lettuce|Non-Vegetarian|Pakistani
Cholesterol|Lunch|Lauki Dal|lauki,dal,tomato,spices|Vegan|Pakistani
Cholesterol|Lunch|Bhindi Curry|bhindi,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Lunch|Chicken Yakhni|chicken,ginger,garlic,water,spices|Non-Vegetarian|Pakistani
Cholesterol|Lunch|Egg White Curry|egg white,onion,tomato,spices|Non-Vegetarian|Pakistani
Cholesterol|Lunch|Turai Sabzi|turai,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Lunch|Lentil Soup|mixed lentils,garlic,cumin,tomato|Vegan|Pakistani
Cholesterol|Lunch|Arvi Curry|arvi,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Lunch|Palak Dal|spinach,dal,garlic,tomato|Vegan|Pakistani
Cholesterol|Lunch|Karela Sabzi|karela,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Lunch|Daal Mash (low fat)|urad dal,garlic,spices,less oil|Vegan|Pakistani
Cholesterol|Lunch|Saag with Roti|saag,wheat roti,less butter|Vegetarian|Pakistani
Cholesterol|Lunch|Steamed Fish with Salad|fish,lemon,cucumber,tomato|Non-Vegetarian|Pakistani
Cholesterol|Lunch|Turkey Curry|turkey,onion,tomato,spices|Non-Vegetarian|Pakistani
Cholesterol|Lunch|Pumpkin Curry|pumpkin,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Lunch|Vegetable Khichdi|rice,mixed vegetables,turmeric|Vegan|Pakistani
Cholesterol|Dinner|Grilled Fish|fish,lemon,garlic,spices|Non-Vegetarian|Pakistani
Cholesterol|Dinner|Moong Dal Khichdi|moong dal,rice,turmeric,salt|Vegan|Pakistani
Cholesterol|Dinner|Chicken Saag|chicken,spinach,onion,spices|Non-Vegetarian|Pakistani
Cholesterol|Dinner|Masoor Soup|masoor,tomato,garlic,spices|Vegan|Pakistani
Cholesterol|Dinner|Bhindi Sabzi|bhindi,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Dinner|Palak Paneer (low fat)|spinach,low fat paneer,spices|Vegetarian|Pakistani
Cholesterol|Dinner|Chana Dal with Roti|chana dal,wheat roti,spices|Vegan|Pakistani
Cholesterol|Dinner|Lauki Kofta (baked)|lauki,besan,spices|Vegetarian|Pakistani
Cholesterol|Dinner|Steamed Chicken|chicken,ginger,garlic,salt|Non-Vegetarian|Pakistani
Cholesterol|Dinner|Baingan Bharta|baingan,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Dinner|Turai Gosht (less oil)|turai,chicken,spices|Non-Vegetarian|Pakistani
Cholesterol|Dinner|Lentil Soup|mixed lentils,garlic,cumin,tomato|Vegan|Pakistani
Cholesterol|Dinner|Stuffed Capsicum|capsicum,low fat paneer,spices|Vegetarian|Pakistani
Cholesterol|Dinner|Saag with Makki Roti|saag,makki roti,less butter|Vegetarian|Pakistani
Cholesterol|Dinner|Mixed Vegetable Soup|mixed vegetables,garlic,salt|Vegan|Pakistani
Cholesterol|Dinner|Egg White Bhurji|egg white,onion,tomato,spices|Non-Vegetarian|Pakistani
Cholesterol|Dinner|Karela Sabzi|karela,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Dinner|Daal Mash with Roti|urad dal,wheat roti,less oil|Vegan|Pakistani
Cholesterol|Dinner|Grilled Tuna|tuna,lemon,garlic,spices|Non-Vegetarian|Pakistani
Cholesterol|Dinner|Arvi Sabzi|arvi,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Dinner|Chicken Shorba|chicken,ginger,garlic,water,spices|Non-Vegetarian|Pakistani
Cholesterol|Dinner|Aloo Methi (less oil)|potato,methi,spices|Vegan|Pakistani
Cholesterol|Dinner|Fish Curry|fish,tomato,onion,mustard,spices|Non-Vegetarian|Pakistani
Cholesterol|Dinner|Lauki Sabzi|lauki,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Dinner|Vegetable Khichdi|rice,mixed vegetables,turmeric|Vegan|Pakistani
Cholesterol|Dinner|Rajma Curry|kidney beans,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Dinner|Palak Dal|spinach,dal,garlic,tomato|Vegan|Pakistani
Cholesterol|Dinner|Chickpea Curry|chickpeas,onion,tomato,spices|Vegan|Pakistani
Cholesterol|Dinner|Spinach Soup|spinach,garlic,water,salt|Vegan|Pakistani
Cholesterol|Dinner|Turkey Saag|turkey,spinach,onion,spices|Non-Vegetarian|Pakistani
Cholesterol|Snacks|Walnuts|walnuts|Vegan|Pakistani
Cholesterol|Snacks|Flaxseed Drink|flaxseeds,water,lemon|Vegan|Pakistani
Cholesterol|Snacks|Psyllium Husk Water|psyllium husk,water,lemon|Vegan|Pakistani
Cholesterol|Snacks|Roasted Chana|chana,salt,cumin|Vegan|Pakistani
Cholesterol|Snacks|Oat Biscuits|oats,honey|Vegan|Pakistani
Cholesterol|Snacks|Apple with Cinnamon|apple,cinnamon|Vegan|Pakistani
Cholesterol|Snacks|Chia Water|chia seeds,water,lemon|Vegan|Pakistani
Cholesterol|Snacks|Almonds|almonds|Vegan|Pakistani
Cholesterol|Snacks|Green Tea|green tea,lemon|Vegan|Pakistani
Cholesterol|Snacks|Sprout Chaat|moong sprouts,tomato,lemon|Vegan|Pakistani
Cholesterol|Snacks|Cucumber Slices|cucumber,salt,lemon|Vegan|Pakistani
Cholesterol|Snacks|Coconut Water|coconut water|Vegan|Pakistani
Cholesterol|Snacks|Carrot Sticks with Hummus|carrot,hummus|Vegan|Pakistani
Cholesterol|Snacks|Lauki Juice|lauki,water,lemon|Vegan|Pakistani
Cholesterol|Snacks|Tomato Soup|tomato,garlic,onion,salt|Vegan|Pakistani
Cholesterol|Snacks|Roasted Pumpkin Seeds|pumpkin seeds,salt|Vegan|Pakistani
Cholesterol|Snacks|Methi Seeds Water|methi seeds,water|Vegan|Pakistani
Cholesterol|Snacks|Sattu Drink|sattu,water,lemon,salt|Vegan|Pakistani
Cholesterol|Snacks|Namkeen Lassi (low fat)|low fat yogurt,water,salt,cumin|Vegetarian|Pakistani
Cholesterol|Snacks|Chickpea Chaat|chickpeas,tomato,onion,chaat masala|Vegan|Pakistani
Cholesterol|Snacks|Mixed Seeds|flaxseeds,pumpkin seeds,sunflower seeds|Vegan|Pakistani
Cholesterol|Snacks|Dahi with Cucumber|yogurt,cucumber,mint,salt|Vegetarian|Pakistani
Cholesterol|Snacks|Bran Crackers|wheat bran crackers,salt|Vegan|Pakistani
Cholesterol|Snacks|Garlic Lemon Water|garlic,lemon,water|Vegan|Pakistani
Cholesterol|Snacks|Lentil Soup Cup|masoor,water,garlic,salt|Vegan|Pakistani
Cholesterol|Snacks|Herbal Tea|tulsi,ginger,water|Vegan|Pakistani
Cholesterol|Snacks|Ajwain Water|ajwain,warm water|Vegan|Pakistani
Cholesterol|Snacks|Palak Soup|spinach,garlic,water,salt|Vegan|Pakistani
Cholesterol|Snacks|Steamed Moong|moong dal,salt,lemon|Vegan|Pakistani
Cholesterol|Snacks|Avocado on Crackers|avocado,bran crackers,salt|Vegan|Pakistani
Hypertension|Breakfast|Daliya Porridge (no salt)|daliya,water,milk|Vegetarian|Pakistani
Hypertension|Breakfast|Oatmeal with Banana|oats,banana,milk,no salt|Vegetarian|Pakistani
Hypertension|Breakfast|Besan Chilla (low salt)|besan,onion,tomato,minimal salt|Vegetarian|Pakistani
Hypertension|Breakfast|Palak Paratha (low oil)|spinach,wheat flour,minimal oil|Vegan|Pakistani
Hypertension|Breakfast|Moong Dal Cheela|moong dal,onion,coriander,minimal salt|Vegan|Pakistani
Hypertension|Breakfast|Greek Yogurt with Banana|yogurt,banana,honey|Vegetarian|Pakistani
Hypertension|Breakfast|Egg White Omelette|egg white,capsicum,onion,herbs|Non-Vegetarian|Pakistani
Hypertension|Breakfast|Brown Rice Khichdi|brown rice,moong dal,turmeric,no salt|Vegan|Pakistani
Hypertension|Breakfast|Lauki Juice|lauki,water,lemon|Vegan|Pakistani
Hypertension|Breakfast|Avocado Toast|brown bread,avocado,lemon,no salt|Vegan|Pakistani
Hypertension|Breakfast|Whole Wheat Roti with Sabzi|wheat roti,vegetables,minimal salt|Vegan|Pakistani
Hypertension|Breakfast|Dahi with Flaxseeds|yogurt,flaxseeds|Vegetarian|Pakistani
Hypertension|Breakfast|Chia Pudding|chia seeds,almond milk,honey|Vegan|Pakistani
Hypertension|Breakfast|Sprout Salad|moong sprouts,tomato,cucumber,lemon|Vegan|Pakistani
Hypertension|Breakfast|Banana Smoothie|banana,yogurt,almond milk|Vegetarian|Pakistani
Hypertension|Breakfast|Methi Paratha (low oil)|methi,wheat flour,minimal oil|Vegan|Pakistani
Hypertension|Breakfast|Almond Butter Toast|brown bread,almond butter|Vegan|Pakistani
Hypertension|Breakfast|Flaxseed Drink|flaxseeds,water,lemon|Vegan|Pakistani
Hypertension|Breakfast|Sattu Drink (no salt)|sattu,water,lemon|Vegan|Pakistani
Hypertension|Breakfast|Coconut Water|coconut water|Vegan|Pakistani
Hypertension|Breakfast|Oat Bran Porridge|oat bran,water,banana|Vegan|Pakistani
Hypertension|Breakfast|Spinach Smoothie|spinach,banana,almond milk|Vegan|Pakistani
Hypertension|Breakfast|Namkeen Daliya (low salt)|daliya,vegetables,cumin,minimal salt|Vegan|Pakistani
Hypertension|Breakfast|Pumpkin Seed Yogurt|yogurt,pumpkin seeds,honey|Vegetarian|Pakistani
Hypertension|Breakfast|Walnut Smoothie|walnuts,banana,milk|Vegetarian|Pakistani
Hypertension|Breakfast|Rice Bran Roti with Dal|rice bran roti,moong dal|Vegan|Pakistani
Hypertension|Breakfast|Carrot Ginger Juice|carrot,ginger,water,lemon|Vegan|Pakistani
Hypertension|Breakfast|Boiled Egg (no salt)|egg,herbs,pepper|Non-Vegetarian|Pakistani
Hypertension|Breakfast|Mixed Seeds Smoothie|flaxseeds,chia seeds,banana,almond milk|Vegan|Pakistani
Hypertension|Breakfast|Herbal Tea with Brown Toast|green tea,ginger,brown bread|Vegan|Pakistani
Hypertension|Lunch|Masoor Dal (low salt)|masoor dal,garlic,tomato,minimal salt|Vegan|Pakistani
Hypertension|Lunch|Grilled Fish|fish,lemon,garlic,herbs,no salt|Non-Vegetarian|Pakistani
Hypertension|Lunch|Chana Dal (low salt)|chana dal,onion,tomato,minimal salt|Vegan|Pakistani
Hypertension|Lunch|Moong Dal Soup|moong dal,garlic,cumin,water|Vegan|Pakistani
Hypertension|Lunch|Baingan Bharta|baingan,onion,tomato,minimal salt|Vegan|Pakistani
Hypertension|Lunch|Lobia Curry|black eyed peas,onion,tomato,spices|Vegan|Pakistani
Hypertension|Lunch|Chicken Yakhni|chicken,ginger,garlic,water,no salt|Non-Vegetarian|Pakistani
Hypertension|Lunch|Palak Paneer|spinach,low fat paneer,spices|Vegetarian|Pakistani
Hypertension|Lunch|Grilled Chicken Salad|chicken,cucumber,tomato,lettuce,lemon|Non-Vegetarian|Pakistani
Hypertension|Lunch|Brown Rice Pulao (low salt)|brown rice,vegetables,cumin|Vegan|Pakistani
Hypertension|Lunch|Bhindi Curry|bhindi,onion,tomato,minimal salt|Vegan|Pakistani
Hypertension|Lunch|Chickpea Curry|chickpeas,onion,tomato,spices|Vegan|Pakistani
Hypertension|Lunch|Mixed Vegetable Curry|mixed vegetables,onion,tomato,minimal salt|Vegan|Pakistani
Hypertension|Lunch|Lauki Dal|lauki,dal,tomato,spices|Vegan|Pakistani
Hypertension|Lunch|Fish Curry|fish,tomato,onion,herbs,minimal salt|Non-Vegetarian|Pakistani
Hypertension|Lunch|Turai Sabzi|turai,onion,tomato,spices|Vegan|Pakistani
Hypertension|Lunch|Saag with Roti|saag,wheat roti,herbs|Vegetarian|Pakistani
Hypertension|Lunch|Daal Mash (low salt)|urad dal,garlic,minimal salt|Vegan|Pakistani
Hypertension|Lunch|Egg White Curry|egg white,onion,tomato,herbs|Non-Vegetarian|Pakistani
Hypertension|Lunch|Arvi Curry|arvi,onion,tomato,minimal salt|Vegan|Pakistani
Hypertension|Lunch|Palak Dal|spinach,dal,garlic,tomato|Vegan|Pakistani
Hypertension|Lunch|Lentil Soup|mixed lentils,garlic,cumin,tomato|Vegan|Pakistani
Hypertension|Lunch|Rajma Curry|kidney beans,onion,tomato,spices|Vegan|Pakistani
Hypertension|Lunch|Steamed Fish with Salad|fish,lemon,cucumber,tomato|Non-Vegetarian|Pakistani
Hypertension|Lunch|Karela Sabzi|karela,onion,tomato,minimal salt|Vegan|Pakistani
Hypertension|Lunch|Turkey Curry (low salt)|turkey,onion,tomato,herbs|Non-Vegetarian|Pakistani
Hypertension|Lunch|Pumpkin Curry|pumpkin,onion,tomato,spices|Vegan|Pakistani
Hypertension|Lunch|Vegetable Khichdi|rice,mixed vegetables,turmeric|Vegan|Pakistani
Hypertension|Lunch|Sindhi Kadhi|vegetables,chickpea flour,tamarind|Vegan|Pakistani
Hypertension|Lunch|Methi Sabzi|methi,onion,tomato,minimal salt|Vegan|Pakistani
Hypertension|Dinner|Grilled Fish|fish,lemon,garlic,herbs|Non-Vegetarian|Pakistani
Hypertension|Dinner|Moong Dal Khichdi|moong dal,rice,turmeric,minimal salt|Vegan|Pakistani
Hypertension|Dinner|Chicken Saag|chicken,spinach,onion,herbs|Non-Vegetarian|Pakistani
Hypertension|Dinner|Masoor Soup|masoor,tomato,garlic,minimal salt|Vegan|Pakistani
Hypertension|Dinner|Palak Paneer|spinach,low fat paneer,spices|Vegetarian|Pakistani
Hypertension|Dinner|Bhindi Sabzi|bhindi,onion,tomato,minimal salt|Vegan|Pakistani
Hypertension|Dinner|Chana Dal with Roti|chana dal,wheat roti,minimal salt|Vegan|Pakistani
Hypertension|Dinner|Steamed Chicken|chicken,ginger,garlic,herbs|Non-Vegetarian|Pakistani
Hypertension|Dinner|Lauki Sabzi|lauki,onion,tomato,minimal salt|Vegan|Pakistani
Hypertension|Dinner|Baingan Bharta|baingan,onion,tomato,minimal salt|Vegan|Pakistani
Hypertension|Dinner|Mixed Vegetable Soup|mixed vegetables,garlic,herbs|Vegan|Pakistani
Hypertension|Dinner|Lentil Soup|mixed lentils,garlic,cumin,tomato|Vegan|Pakistani
Hypertension|Dinner|Turai Gosht (low salt)|turai,chicken,herbs,minimal salt|Non-Vegetarian|Pakistani
Hypertension|Dinner|Daal Mash with Roti|urad dal,wheat roti,minimal salt|Vegan|Pakistani
Hypertension|Dinner|Grilled Tuna|tuna,lemon,garlic,herbs|Non-Vegetarian|Pakistani
Hypertension|Dinner|Arvi Sabzi|arvi,onion,tomato,minimal salt|Vegan|Pakistani
Hypertension|Dinner|Aloo Methi (less oil)|potato,methi,minimal oil,salt|Vegan|Pakistani
Hypertension|Dinner|Chicken Shorba|chicken,ginger,garlic,water,herbs|Non-Vegetarian|Pakistani
Hypertension|Dinner|Saag with Makki Roti|saag,makki roti,herbs|Vegetarian|Pakistani
Hypertension|Dinner|Egg White Bhurji|egg white,onion,tomato,herbs|Non-Vegetarian|Pakistani
Hypertension|Dinner|Karela Sabzi|karela,onion,tomato,minimal salt|Vegan|Pakistani
Hypertension|Dinner|Stuffed Capsicum|capsicum,low fat paneer,herbs|Vegetarian|Pakistani
Hypertension|Dinner|Fish Curry (low salt)|fish,tomato,onion,herbs,minimal salt|Non-Vegetarian|Pakistani
Hypertension|Dinner|Lauki Kofta (baked)|lauki,besan,herbs,minimal salt|Vegetarian|Pakistani
Hypertension|Dinner|Rajma Curry|kidney beans,onion,tomato,spices|Vegan|Pakistani
Hypertension|Dinner|Chickpea Curry|chickpeas,onion,tomato,spices|Vegan|Pakistani
Hypertension|Dinner|Palak Dal|spinach,dal,garlic,tomato|Vegan|Pakistani
Hypertension|Dinner|Spinach Soup|spinach,garlic,water,herbs|Vegan|Pakistani
Hypertension|Dinner|Turkey Saag (low salt)|turkey,spinach,onion,herbs|Non-Vegetarian|Pakistani
Hypertension|Dinner|Vegetable Khichdi|rice,mixed vegetables,turmeric|Vegan|Pakistani
Hypertension|Snacks|Coconut Water|coconut water|Vegan|Pakistani
Hypertension|Snacks|Banana|banana|Vegan|Pakistani
Hypertension|Snacks|Lauki Juice|lauki,water,lemon|Vegan|Pakistani
Hypertension|Snacks|Flaxseed Drink|flaxseeds,water,lemon|Vegan|Pakistani
Hypertension|Snacks|Roasted Chana (no salt)|chana,cumin,no salt|Vegan|Pakistani
Hypertension|Snacks|Walnuts and Almonds|walnuts,almonds|Vegan|Pakistani
Hypertension|Snacks|Green Tea|green tea,lemon|Vegan|Pakistani
